# Wavelength[Angstrom] Flux_16[erg/s/cm^2/A] Flux_22[erg/s/cm^2/A] Flux_30[erg/s/cm^2/A] Flux_40[erg/s/cm^2/A]
1.453234900889379969e+04 3.363311546946978859e-15 1.324789817589162592e-15 6.090022484189248649e-16 4.162728010151250926e-16
1.449107349872478699e+04 3.394573633517253091e-15 1.306605154504751181e-15 5.940259528929679537e-16 4.345759978828163830e-16
1.445003179006994105e+04 3.463889164177985755e-15 1.352124219814600726e-15 5.999422438920618511e-16 4.362364122136468142e-16
1.440922190201729245e+04 3.367297983314425597e-15 1.377828677024535377e-15 6.128092968126999277e-16 4.390470927811716078e-16
1.436864187596988450e+04 3.475326665851004429e-15 1.370153487658332027e-15 6.337130412205499898e-16 4.324614076105411296e-16
1.432828977533241778e+04 3.476367801602671633e-15 1.409884833753539089e-15 6.100685210945275864e-16 4.299340321778949583e-16
1.428816368520317883e+04 3.483276582235858501e-15 1.369558925710450014e-15 6.368387560805434454e-16 4.064085047273386631e-16
1.424826171207112930e+04 3.536318147137950888e-15 1.389559130134678674e-15 6.090888831796450921e-16 3.954884986936090348e-16
1.420858198351804640e+04 3.539220842312121925e-15 1.363031262229898121e-15 6.026636333521643816e-16 3.754122288820892497e-16
1.416912264792564201e+04 3.520935826495107109e-15 1.378888856360694360e-15 5.924993520239009294e-16 3.904905055160792320e-16
1.412988187418753296e+04 3.632595402456714749e-15 1.361002444736272934e-15 6.008482992357081693e-16 3.855565222035873218e-16
1.409085785142599707e+04 3.557156170459083423e-15 1.379174706442181333e-15 5.989239845179317846e-16 4.261301759521560022e-16
1.405204878871339497e+04 3.587110915468491730e-15 1.398457271203825750e-15 5.859977009370999749e-16 4.255707541917602760e-16
1.401345291479820662e+04 3.587245790853386604e-15 1.417060607230328772e-15 6.235901295598089276e-16 4.645529251319656725e-16
1.397506847783554258e+04 3.704512355819028810e-15 1.447707126645530061e-15 6.552455281365553965e-16 4.773601655526671743e-16
1.393689374512208997e+04 3.650540469717359289e-15 1.434419260502303317e-15 6.705667097977089161e-16 4.907667467774664005e-16
1.389892700283538397e+04 3.768154732426793551e-15 1.527240826090040694e-15 7.082175810754847790e-16 4.933474369264312538e-16
1.386116655577733582e+04 3.830639928248359873e-15 1.569095007068512519e-15 6.880139119759756724e-16 5.147868444624279802e-16
1.382361072712192617e+04 3.754665960106989130e-15 1.575095194689002014e-15 6.740521298827431122e-16 5.202703341157383099e-16
1.378625785816698044e+04 3.943977280259118266e-15 1.594737526591942219e-15 6.994848887927118738e-16 5.020167684835846237e-16
1.374910630808997485e+04 4.006575972590717477e-15 1.614754118019202124e-15 7.170144470960421562e-16 5.390923003557120053e-16
1.371215445370776797e+04 3.983414811393063374e-15 1.583165491578961180e-15 7.291605910358576841e-16 5.567455717580018038e-16
1.367540068924019579e+04 3.927391353501493094e-15 1.639160514159212426e-15 7.260757132644434314e-16 5.419160586956936890e-16
1.363884342607747021e+04 4.115047875924032289e-15 1.647368861074847431e-15 7.149425456206857913e-16 5.251974496472735669e-16
1.360248109255128293e+04 4.065631948107416392e-15 1.664758668199498841e-15 7.402061489774124815e-16 5.237989851986929964e-16
1.356631213370957266e+04 4.125840773528248896e-15 1.666946827761144099e-15 7.613662743605669661e-16 5.420308693607216130e-16
1.353033501109487588e+04 4.187742782227535704e-15 1.679474769232565329e-15 7.581088889288014473e-16 5.664762882363671076e-16
1.349454820252617901e+04 4.159760439101246325e-15 1.708751232915676038e-15 7.856301778676704919e-16 5.398611669193012917e-16
1.345895020188425406e+04 4.273287157262952607e-15 1.685476503799735279e-15 7.710258993090205380e-16 5.390715501157953325e-16
